time,Piezo,Touch,Touch,Touch,Accel,Accel,Accel,Gyro,Gyro,Gyro,Temp
1409765578.24,154.0,983.0,1201.0,1077.0,0.1177,-2.432,-9.3752,-0.037,0.0005,-0.0046,23.62
1409765578.25,120.0,980.0,1193.0,1082.0,0.0392,-2.432,-9.2967,-0.0363,0.0008,-0.0026,23.62
1409765578.27,128.0,984.0,1189.0,1084.0,0.0392,-2.3536,-9.2967,-0.0359,0.0014,0.0023,23.61
1409765578.28,156.0,985.0,1194.0,1076.0,-0.0392,-2.432,-9.2967,-0.0389,-0.0017,-0.0031,23.62
1409765578.3,125.0,1036.0,1190.0,1086.0,0.0,-2.4713,-9.3359,-0.038,0.0006,0.0009,23.62
1409765578.31,120.0,987.0,1195.0,1071.0,0.0785,-2.4713,-9.3359,-0.0397,0.0032,-0.002,23.63
1409765578.33,142.0,987.0,1188.0,1080.0,0.0,-2.432,-9.4144,-0.0394,0.0026,-0.0003,23.62
1409765578.34,142.0,980.0,1189.0,1072.0,0.0392,-2.4713,-9.2967,-0.0374,0.0006,-0.0038,23.61
1409765578.35,124.0,985.0,1198.0,1082.0,0.0392,-2.3536,-9.2183,-0.033,-0.0003,-0.0026,23.61
1409765578.37,153.0,987.0,1195.0,1083.0,0.1177,-2.4713,-9.3752,-0.0421,0.0021,-0.0014,23.61
1409765578.38,162.0,990.0,1201.0,1081.0,0.0785,-2.3928,-9.3359,-0.0403,0.0014,-0.0046,23.61
1409765578.4,119.0,986.0,1205.0,1086.0,0.0785,-2.4713,-9.4144,-0.0351,-0.0011,-0.0027,23.63
1409765578.41,129.0,994.0,1201.0,1080.0,0.0785,-2.432,-9.2575,-0.0382,0.0009,-0.0052,23.61
1409765578.42,173.0,983.0,1200.0,1083.0,0.0392,-2.4713,-9.2183,-0.036,0.0011,-0.0057,23.62
1409765578.44,146.0,989.0,1187.0,1081.0,-0.0392,-2.4713,-9.2575,-0.0331,-0.0012,-0.004,23.61
1409765578.45,125.0,984.0,1197.0,1081.0,0.0785,-2.432,-9.3359,-0.0415,0.0002,-0.007,23.63
1409765578.47,180.0,984.0,1191.0,1072.0,0.0392,-2.3928,-9.2967,-0.0412,0.0024,-0.0043,23.62
1409765578.48,152.0,989.0,1194.0,1083.0,0.0,-2.432,-9.2967,-0.0396,-0.0012,-0.0034,23.62
1409765578.49,112.0,995.0,1193.0,1083.0,0.0392,-2.4713,-9.3359,-0.0356,0.0003,-0.0008,23.61
1409765578.51,140.0,986.0,1187.0,1080.0,0.0,-2.432,-9.3359,-0.0392,-0.002,-0.0052,23.61
1409765578.52,152.0,993.0,1202.0,1078.0,0.0392,-2.3928,-9.179,-0.0002,-0.0009,-0.0069,23.62
1409765578.54,143.0,981.0,1192.0,1089.0,0.0392,-2.4713,-9.3359,-0.0406,0.0015,-0.0003,23.63
1409765578.55,133.0,984.0,1192.0,1077.0,0.0785,-2.4713,-9.3752,-0.0435,0.0034,0.0032,23.61
1409765578.56,147.0,986.0,1201.0,1077.0,-0.0392,-2.432,-9.4144,-0.0371,-0.0005,-0.0046,23.62
1409765578.58,148.0,986.0,1205.0,1088.0,0.0392,-2.3928,-9.2967,-0.0371,0.0014,-0.0014,23.61
1409765578.59,125.0,991.0,1198.0,1074.0,0.0,-2.432,-9.3359,-0.038,0.0034,0.0061,23.62
1409765578.61,142.0,989.0,1202.0,1085.0,-0.0392,-2.4713,-9.3359,-0.037,0.0,0.0006,23.61
1409765578.62,153.0,990.0,1191.0,1077.0,0.0785,-2.3928,-9.3752,-0.0362,0.0002,-0.0031,23.61
1409765578.64,130.0,986.0,1191.0,1076.0,0.0,-2.432,-9.3752,-0.0399,0.0005,-0.0038,23.61
1409765578.65,132.0,985.0,1201.0,1084.0,0.0785,-2.3928,-9.2575,-0.0386,-0.0006,-0.0081,23.63
1409765578.66,166.0,977.0,1194.0,1085.0,0.0785,-2.432,-9.4144,-0.0342,-0.0005,-0.0058,23.61
1409765578.68,146.0,981.0,1192.0,1082.0,0.0,-2.432,-9.3359,-0.0359,-0.0018,-0.0037,23.63
1409765578.69,101.0,990.0,1202.0,1088.0,0.0392,-2.432,-9.3359,-0.0382,0.0023,-0.0023,23.62
1409765578.71,166.0,979.0,1206.0,1076.0,0.0392,-2.432,-9.2967,-0.0365,-0.0009,-0.0041,23.61
1409765578.72,158.0,991.0,1206.0,1083.0,0.0,-2.4713,-9.2967,-0.0338,-0.0029,-0.0063,23.61
1409765578.73,147.0,986.0,1199.0,1081.0,0.0785,-2.3928,-9.3359,-0.0357,0.004,0.0064,23.61
1409765578.75,133.0,987.0,1206.0,1079.0,0.0,-2.3928,-9.2967,-0.035,0.0011,0.0024,23.61
1409765578.76,141.0,987.0,1208.0,1081.0,0.0,-2.432,-9.4144,-0.0318,0.0005,0.0008,23.61
1409765578.78,151.0,984.0,1205.0,1081.0,0.0392,-2.4713,-9.3752,-0.0365,0.0003,-0.0058,23.61
1409765578.79,136.0,989.0,1206.0,1086.0,0.0,-2.432,-9.3359,-0.0348,0.0008,-0.0035,23.61
1409765578.8,162.0,987.0,1203.0,1083.0,0.0392,-2.432,-9.3752,-0.0371,-0.0005,-0.0037,23.62
1409765578.82,158.0,987.0,1195.0,1082.0,0.0785,-2.432,-9.3359,-0.0382,-0.0003,-0.007,23.61
1409765578.83,98.0,989.0,1206.0,1085.0,0.1177,-2.4713,-9.3752,-0.037,0.0002,-0.0006,23.62
1409765578.85,163.0,981.0,1196.0,1082.0,0.0392,-2.4713,-9.3752,-0.0385,-0.0006,-0.0052,23.62
1409765578.86,137.0,988.0,1186.0,1087.0,0.0,-2.4713,-9.3752,-0.0386,0.0005,-0.0052,23.61
1409765578.87,142.0,989.0,1191.0,1077.0,0.0785,-2.5105,-9.4144,-0.0374,-0.0015,-0.0066,23.61
1409765578.89,128.0,988.0,1189.0,1080.0,0.0,-2.432,-9.3752,-0.0296,0.0008,-0.0029,23.61
1409765578.9,150.0,986.0,1206.0,1087.0,0.0,-2.3928,-9.3359,-0.0367,0.0014,-0.0008,23.62
1409765578.92,134.0,992.0,1201.0,1085.0,0.0,-2.432,-9.2183,-0.0363,0.0006,-0.0055,23.61
1409765578.93,126.0,993.0,1198.0,1075.0,0.0,-2.3928,-9.2967,-0.0374,0.0008,-0.005,23.61
1409765578.95,148.0,986.0,1196.0,1081.0,0.0392,-2.4713,-9.4144,-0.0357,0.0012,-0.0031,23.63
1409765578.96,154.0,983.0,1209.0,1080.0,0.0785,-2.432,-9.2967,-0.0327,0.0,-0.0017,23.61
1409765578.97,125.0,992.0,1200.0,1065.0,0.0392,-2.4713,-9.4144,-0.0376,-0.0002,-0.0057,23.62
1409765578.99,134.0,1122.0,1475.0,1085.0,0.0392,-2.3928,-9.4536,-0.0379,0.0009,-0.0011,23.62
1409765579.0,162.0,977.0,1203.0,1077.0,0.0785,-2.432,-9.3359,-0.0415,0.0023,-0.0015,23.61
